topic	num_paragraphs	num_questions
Pitch_(music)	10	36
Grape	10	48
Race_and_ethnicity_in_the_United_States_Census	12	52
Letter_case	12	55
Order_of_the_British_Empire	13	63
Imamah_(Shia_doctrine)	14	64
Central_Intelligence_Agency	16	65
Animal	17	79
Digestion	18	85
Immunology	18	85
Great_Plains	13	108
Federal_Aviation_Administration	12	109
Communication	12	117
England_national_football_team	12	119
Myocardial_infarction	26	126
Lighting	57	140
Iranian_languages	21	140
Matter	29	142
Warsaw_Pact	23	146
Montana	44	149
Mesozoic	16	153
Institute_of_technology	77	154
General_Electric	16	158
Galicia_(Spain)	50	159
Internet_service_provider	21	161
Bern	52	164
Chinese_characters	56	168
Human_Development_Index	38	168
Identity_(social_science)	21	168
Space_Race	70	173
Hydrogen	60	174
Symbiosis	23	175
Oklahoma_City	82	179
Political_corruption	57	179
Apollo	52	179
Diarrhea	21	181
LaserDisc	50	182
Serbo-Croatian	22	183
Infrared	20	183
Culture	24	185
Bill_%26_Melinda_Gates_Foundation	21	185
Tristan_da_Cunha	29	187
Old_English	23	187
Intellectual_property	21	188
Georgian_architecture	21	188
Great_power	21	188
CBC_Television	25	190
Ashkenazi_Jews	50	190
Geography_of_the_United_States	21	190
Web_browser	24	192
Jacksonville,_Florida	21	192
Neoclassical_architecture	22	193
Canon_law	22	195
Lancashire	20	195
United_Nations_Population_Fund	22	196
Prime_minister	36	196
Hanover	21	197
Immaculate_Conception	22	197
Exhibition_game	21	198
George_VI	23	198
Comprehensive_school	25	198
Alloy	22	198
Glacier	23	199
Supreme_court	23	199
Digimon	21	200
Genome	25	201
Palermo	24	201
Dutch_Republic	21	201
Circadian_rhythm	22	202
Baptists	23	203
Clothing	21	203
Materialism	33	203
Phonology	23	204
Heresy	29	204
Philosophy_of_space_and_time	24	205
Neolithic	23	205
Heian_period	24	205
Videoconferencing	21	206
Normans	39	208
Mammal	24	208
Wayback_Machine	26	208
Rule_of_law	24	209
The_Times	53	210
Sky_(United_Kingdom)	22	210
Gregorian_calendar	23	210
Utrecht	27	210
Chicago_Cubs	63	210
East_Prussia	27	211
Mali	22	212
List_of_numbered_streets_in_Manhattan	50	213
Southern_Europe	25	214
Data_compression	26	214
Virgil	23	215
Southeast_Asia	26	215
Liberal_Party_of_Australia	26	216
John_von_Neumann	63	216
Adult_contemporary_music	53	216
Turner_Classic_Movies	23	216
Bacteria	51	216
Software_testing	29	216
Transistor	23	216
Christian	28	218
Black_Death	23	219
BBC_Television	31	219
Airport	25	220
Santa_Monica,_California	22	220
Gymnastics	23	220
Arnold_Schwarzenegger	86	221
Intergovernmental_Panel_on_Climate_Change	24	222
Brain	64	222
Bras%C3%ADlia	23	223
Computer	80	224
Himachal_Pradesh	23	226
Liberia	23	226
Friedrich_Hayek	50	227
Appalachian_Mountains	35	228
To_Kill_a_Mockingbird	62	228
Alsace	27	228
